,Date,Locations affected,Number of positive employees,Number of positive students
17,2021-08-11,Walsingham Elementary School,0,2
18,2021-08-11,Walter Pownall Service Center,3,0
19,2021-08-10,Administration Building,1,0
20,2021-08-10,Belleair Elementary School,1,0
21,2021-08-10,Boca Ciega High School,1,1
22,2021-08-10,Clearwater High School,1,0
23,2021-08-10,Countryside High School,1,0
24,2021-08-10,Curtis Fundamental Elementary School,1,0
0,2021-08-10,Dunedin High School,2,0
1,2021-08-10,Garrison-Jones Elementary School,1,0
2,2021-08-10,Gulfport Elementary School,1,0
3,2021-08-10,Lealman Avenue Elementary School,0,1
4,2021-08-10,Marjorie Rawlings Elementary School,1,0
5,2021-08-10,Maximo Elementary School,1,0
6,2021-08-10,Nina Harris ESE,1,0
7,2021-08-10,Oakhurst Elementary School,1,0
8,2021-08-10,Osceola Fundamental High School,0,1
9,2021-08-10,Osceola Middle School,1,0
10,2021-08-10,Ridgecrest Elementary School,1,0
11,2021-08-10,Southern Oak Elementary School,1,0
12,2021-08-10,St. Petersburg High School,1,0
13,2021-08-10,Sunset Hills Elementary School,1,0
14,2021-08-10,Tarpon Springs Fundamental Elementary School,1,0
15,2021-08-10,Tarpon Springs High School,1,0
16,2021-08-10,Walter Pownall Service Center,1,0
17,2021-08-10,Westgate Elementary School,1,0
18,2021-08-10,Woodlawn Elementary School,0,1
19,2021-08-09,Administration Building,5,0
20,2021-08-09,Azalea Elementary School,1,0
21,2021-08-09,Azalea Middle School,3,0
22,2021-08-09,Bardmoor Elementary School,4,0
23,2021-08-09,Bauder Elementary School,2,2
24,2021-08-09,Bay Point Middle School,0,1
0,2021-08-09,Bay Vista Fundamental Elementary School,0,1
1,2021-08-09,Bayside High School,1,0
2,2021-08-09,Bear Creek Elementary School,1,0
3,2021-08-09,Belleair Elementary School,3,0
4,2021-08-09,Bernice Johnson Center,2,0
5,2021-08-09,Blanton Elementary School,2,0
6,2021-08-09,Boca Ciega High School,1,0
7,2021-08-09,Brooker Creek Elementary School,1,1
8,2021-08-09,Calvin Hunsinger School,2,0
9,2021-08-09,Carwise Middle School,4,3
10,2021-08-09,Clearwater High School,1,0
11,2021-08-09,Cross Bayou Elementary School,2,0
12,2021-08-09,Curlew Creek Elementary School,1,0
13,2021-08-09,Cypress Woods Elementary School,5,1
14,2021-08-09,Disston Academy,2,0
15,2021-08-09,Dunedin Elementary School,4,0
16,2021-08-09,Dunedin High School,2,1
17,2021-08-09,Dunedin Highland Middle School,0,2
18,2021-08-09,East Lake High School,1,1
19,2021-08-09,East Lake Middle School,1,0
20,2021-08-09,Eisenhower Elementary School,1,2
21,2021-08-09,Forest Lakes Elementary School,1,2
22,2021-08-09,Frontier Elementary School,1,0
23,2021-08-09,Fuguitt Elementary School,1,0
24,2021-08-09,Garrison-Jones Elementary School,3,0
0,2021-08-09,Gibbs High School,2,0
1,2021-08-09,Gulfport Elementary School,1,0
2,2021-08-09,High Point Elementary School,3,0
3,2021-08-09,Hollins High School,2,2
4,2021-08-09,James B. Sanderlin K-8,1,0
5,2021-08-09,John Hopkins Middle School,1,0
6,2021-08-09,Kings Highway Elementary School,1,0
7,2021-08-09,Lakewood Elementary School,1,0
8,2021-08-09,Lakewood High School,2,0
9,2021-08-09,Largo High School,1,0
10,2021-08-09,Lealman Innovation Academy,1,0
11,2021-08-09,Lynch Elementary School,1,0
12,2021-08-09,Madeira Beach Fundamental,0,3
13,2021-08-09,Maximo Elementary School,3,0
14,2021-08-09,McMullen-Booth Elementary School,1,1
15,2021-08-09,Meadowlawn Middle School,0,1
16,2021-08-09,Melrose Elementary School,3,0
17,2021-08-09,Midtown Academy,2,0
18,2021-08-09,Mount Vernon Elementary School,1,0
19,2021-08-09,North Shore Elementary School,2,0
